City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,inyonga,-6.7167,32.0667,19.8,71,92,1.7,TZ,1684981935
224,saipan,15.1355,145.701,29.18,70,100,15.35,MP,1684981936
225,huntersville,35.4107,-80.8429,18.12,67,0,0.0,US,1684981916
226,hithadhoo,-0.6,73.0833,28.37,75,96,4.59,MV,1684981936
227,esqueda,30.7167,-109.5833,22.33,18,4,4.71,MX,1684981936
228,mugumu,-1.85,34.7,14.93,82,91,2.27,TZ,1684981936
229,puerto deseado,-47.7503,-65.8938,7.75,44,100,11.23,AR,1684981899
230,jiuquan,39.7432,98.5174,19.01,16,87,2.95,CN,1684981937
231,osakarovka,50.565,72.5692,18.91,37,12,2.33,KZ,1684981937
232,yazd,31.8972,54.3675,24.06,29,0,1.03,IR,1684981899
233,magadan,59.5667,150.8,2.07,86,100,2.12,RU,1684981937
234,cidreira,-30.1811,-50.2056,20.15,91,100,6.27,BR,1684981937
235,roma,43.2128,-75.4557,8.15,90,0,1.54,US,1684981705
236,teknaf,20.8624,92.3058,29.9,72,55,2.39,BD,1684981938
237,miri,4.4148,114.0089,31.08,79,40,1.03,MY,1684981938
238,broome,42.2506,-75.833,9.78,85,75,5.14,US,1684981938
239,nar'yan-mar,67.6713,53.087,16.34,75,97,3.83,RU,1684981938
240,general acha,-37.377,-64.6043,13.24,47,100,3.57,AR,1684981938
241,kone,-21.0595,164.8658,25.4,45,21,5.11,NC,1684981939
242,fort bragg,35.139,-79.006,18.78,55,20,1.54,US,1684981939
243,kontcha,7.9667,12.2333,22.25,92,99,1.64,CM,1684981939
244,port augusta,-32.5,137.7667,19.89,50,100,6.34,AU,1684981939
245,posto fiscal rolim de moura,-13.0833,-62.2667,25.01,75,88,0.93,BR,1684981939
246,illizi,26.4833,8.4667,24.89,10,100,3.37,DZ,1684981940
247,korla,41.7597,86.1469,22.86,16,36,4.2,CN,1684981940
248,la passe,45.5549,-0.8967,13.13,82,73,6.19,FR,1684981940
249,qaqortoq,60.7167,-46.0333,0.5,100,100,4.28,GL,1684981750
250,aasiaat,68.7098,-52.8699,-4.48,83,100,2.93,GL,1684981940
251,lebu,-37.6167,-73.65,10.94,87,84,4.02,CL,1684981941
252,nurota,40.5614,65.6886,21.52,22,0,3.53,UZ,1684981941
253,sake,-1.5736,29.045,16.52,95,32,0.49,CD,1684981735
254,trairi,-3.2778,-39.2689,24.49,87,93,2.78,BR,1684981941
255,mossel bay,-34.1831,22.146,8.96,65,48,2.18,ZA,1684981941
256,atafu village,-8.5421,-172.5159,28.09,70,80,1.17,TK,1684981942
257,dehui,44.5333,125.7,20.53,40,100,10.1,CN,1684981942
258,nadi,-17.8,177.4167,26.0,69,75,5.14,FJ,1684981942
259,grantsville,40.5999,-112.4644,20.0,44,0,5.14,US,1684981942
260,lerwick,60.1545,-1.1494,9.0,79,5,7.97,GB,1684981942
261,touros,-5.1989,-35.4608,24.56,89,81,3.18,BR,1684981738
262,toamasina,-18.1667,49.3833,22.0,94,75,4.12,MG,1684981943
